书名,评论数,评分
计算机程序设计艺术（第2卷）:半数值算法,69,9.8
计算机程序设计艺术,21,9.8
"Real-TimeRendering,ThirdEdition",140,9.8
计算机程序设计艺术(第3卷)-排序和查找(英文影印版):排序和查找,97,9.7
AdvancedR,50,9.7
"DesigningData-IntensiveApplications:TheBigIdeasBehindReliable,Scalable,andMaintainableSystems",260,9.7
恶意代码分析实战:恶意代码分析实战,24,9.7
DataStructuresandAlgorithmsinPython,48,9.6
PurelyFunctionalDataStructures,32,9.6
TheScienceofProgramming,25,9.6
"图形程序开发人员指南:MichaelAbrash'sGraphicsProgrammingBalckBookSpecialEdition",24,9.6
OperatingSystems:ThreeEasyPieces,156,9.6
RPackages,13,9.6
UNIX网络编程:第1卷:套接口API(第3版),906,9.5
视觉SLAM十四讲:从理论到实践,82,9.5
GameProgrammingPatterns,70,9.5
Instructor'sManualt/aStructureandInterpretationofComputerPrograms,65,9.5
CLRviaC#,291,9.5
深入理解计算机系统,2574,9.5
计算机程序的构造和解释:原书第2版,1987,9.5
深入理解ES6,116,9.5
算法（第4版）,813,9.4
我和LabVIEW:一个NI工程师的十年编程经验,62,9.4
你不知道的JavaScript（上卷）,496,9.4
Ruby元编程,490,9.4
格蠹汇编:软件调试案例集锦,47,9.4
计算机程序设计艺术（第1卷）:基本算法,447,9.4
"TheElementsofProgrammingStyle,2ndEdition",43,9.4
C程序设计语言:第2版・新版,4025,9.4
ParsingTechniques:APracticalGuide,40,9.4
TheiOSApprentice:ThirdEdition:BeginningiOSDevelopmentwithSwift,33,9.4
"GenerativeDesign:Visualize,Program,andCreatewithProce",30,9.4
ElementsofProgrammingInterviews:TheInsiders'Guide,29,9.4
Windows图形编程,28,9.4
流畅的Python,267,9.4
CSS揭秘,232,9.4
UNIX环境高级编程:第2版,2177,9.4
Python编程初学者指南,20,9.4
EffectiveModernC++:42SpecificWaystoImproveYourUseofC++11andC++14,177,9.4
设计模式的艺术:软件开发人员内功修炼之道,16,9.4
TheLinuxProgrammingInterface:ALinuxandUNIXSystemProgrammingHandbook,153,9.4
UNIX网络编程卷2:进程间通信,145,9.4
汇编语言（第2版）,1125,9.4
TheAWKProgrammingLanguage,108,9.4
"RforDataScience:Visualize,Model,Transform,Tidy,andImportData",82,9.3
ProblemSolvingwithAlgorithmsandDataStructuresUsingPythonSECONDEDITION,73,9.3
ProgrammingFromTheGroundUp,67,9.3
HeadFirstHTML与CSS（第2版）,597,9.3
算法导论（原书第2版）,4780,9.3
TheLittleSchemer-4thEdition,451,9.3
算法新解,40,9.3
"IsParallelProgrammingHard,And,IfSo,WhatCanYouDoAboutIt?",39,9.3
代码大全（第2版）,3482,9.3
RubyUnderaMicroscope:AnIllustratedGuidetoRubyInternals,29,9.3
C语言程序设计:现代方法,287,9.3
TheLinuxCommandLine:ACompleteIntroduction,281,9.3
AdvancedBashScriptingGuide5.3Volume2,28,9.3
计算机科学概论（第11版）,258,9.3
C#5.0inaNutshell:TheDefinitiveReference,25,9.3
TwoScoopsofDjango:BestPracticesforDjango1.8,23,9.3
SecretsoftheJavaScriptNinja,191,9.3
JavaScript高级程序设计（第3版）,1812,9.3
TheGoProgrammingLanguage,181,9.3
RubyonRails3Tutorial:LearnRailsbyExample,118,9.3
嗨翻C语言,112,9.3
OnLISP:AdvancedTechniquesforCommonLISP,104,9.3
TheNatureofCode:SimulatingNaturalSystemswithProcessing,92,9.2
EloquentRuby,58,9.2
逆向工程核心原理,56,9.2
"EssentialsofProgrammingLanguages,3rdEdition",54,9.2
C++Primer中文版（第4版）,4181,9.2
RealWorldOCaml:IntroductiontoaFlexibleandConciseProgrammingLanguage,41,9.2
Unix/Linux编程实践教程,360,9.2
网络是怎样连接的,351,9.2
软件工程的事实与谬误,32,9.2
LearnYouaHaskellforGreatGood!:AGuideforBeginners,314,9.2
HeadFirst设计模式（中文版）,2611,9.2
Oracle9i&10g编程艺术:深入数据库体系结构,236,9.2
编码:隐匿在计算机软硬件背后的语言,2237,9.2
编程的修炼（中英双语）,22,9.2
Java8实战,203,9.2
TCP/IP详解卷1：协议,1943,9.2
C专家编程,1825,9.2
ElixirinAction,17,9.2
EffectiveC++中文版,1327,9.2
高等应用数学问题的MATLAB求解:（第二版）,112,9.2
Python编程：从入门到实践:从入门到实践,893,9.1
FlashActionScript3.0动画高级教程,88,9.1
RCookbook,84,9.1
编译原理:原理、技术与工具,770,9.1
TypesandProgrammingLanguages,69,9.1
时间触发嵌入式系统设计模式:使用8051系列微控制器开发可靠应用,57,9.1
程序设计实践,454,9.1
Kotlin实战,43,9.1
AngularJS深度剖析与最佳实践,39,9.1
GettingReal:TenTruthSkillsYouNeedtoLiveanAuthenticLife,38,9.1
TCP/IP详解卷2：实现,325,9.1
Java编程思想（第4版）,3148,9.1
Vim实用技巧,311,9.1
Microsoft.NET框架程序设计,295,9.1
设计模式:可复用面向对象软件的基础,2654,9.1
JavaScript设计模式与开发实践,262,9.1
图解密码技术,255,9.1
深入解析Windows操作系统,253,9.1
计算机组成（第6版）:结构化方法,25,9.1
CreativeCode:AestheticsandComputation,25,9.1
黑客攻防技术宝典:系统实战篇（第2版）,21,9.1
UNIX编程艺术,2040,9.1
编程珠玑:第2版,1893,9.1
CPrimerPlus:（第五版）,1686,9.1
JavaScript语言精粹,1673,9.1
UNIX操作系统设计,147,9.1
深度探索C++对象模型,1387,9.1
ANSICommonLisp,136,9.1
DOOM启世录,1353,9.1
计算机系统要素:从零开始构建现代计算机,134,9.1
HowtoDesignPrograms:AnIntroductiontoProgrammingandComputing,133,9.1
编程精粹:编写高质量C语言代码,131,9.1
敏捷软件开发:原则、模式与实践,1284,9.1
游戏人工智能编程案例精粹,99,9.0
Java并发编程实战,859,9.0
JavaScript面向对象精要,85,9.0
C#与.NET3.5高级程序设计:第4版,72,9.0
OpenCV2ComputerVisionApplicationProgrammingCookbook,67,9.0
TheSeasonedSchemer:SeasonedSchemer,63,9.0
LinuxC编程一站式学习,583,9.0
ATourofC++,56,9.0
嵌入式系统开发之道:菜鸟成长日志与项目经理的私房菜,52,9.0
高性能JavaScript,509,9.0
数据科学中的R语言,47,9.0
老码识途:从机器码到框架的系统观逆向修炼之路,46,9.0
C语言名题精选百则技巧篇,44,9.0
Python3面向对象编程,43,9.0
Python编程快速上手:让繁琐工作自动化,327,9.0
C++设计新思维:泛型编程与设计模式之应用,318,9.0
ExtendingandEmbeddingPHP,28,9.0
游戏引擎架构,267,9.0
揭秘Angular2,23,9.0
Spring揭秘,216,9.0
重构:改善既有代码的设计,2006,9.0
挑战程序设计竞赛,192,9.0
C安全编码标准,19,9.0
算法引论:一种创造性方法,183,9.0
Processing:AProgrammingHandbookforVisualDesignersandArtists,183,9.0
"LearningProcessing:ABeginner'sGuidetoProgrammingImages,Animation,andInteraction(MorganKaufmannSeriesin",172,9.0
Linux内核完全剖析:基于0.12内核,162,9.0
SQL基础教程,153,9.0
Effectivejava中文版（第2版）,1407,9.0
3D游戏编程大师技巧,138,9.0
集体智慧编程,1370,9.0
调试九法:软硬件错误的排查之道,134,9.0
C和指针,1240,9.0
深入理解C#（第2版）,121,9.0
Redis开发与运维,115,9.0
程序设计语言:实践之路（第二版）,110,9.0
"LandofLisp:LearntoPrograminLisp,OneGameataTime!",104,9.0
计算机程序设计艺术：第4卷第4册（双语版）:生成所有树组合生成的历史,23,10.0
